"state_abbr","division","city","total_population","black_population","perc_black","total_newspapers","black_media_groups","latino_media_groups","black_latino_media","inn_members","nabj_chapters","gun_incidents","gun_incidents_per_capita","murder_by_police","murder_by_police_per_capita","total_newspapers_per_capita","gva_rank","gvpc_rank","pva_rank","pvapc_rank","local_rank","localpc_rank","inn_rank","blm_rank","black_community_rank","newspapers_per_capita_rank"
"IN","East North Central","Rome",213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Rome City",2159,3,0.00138953219082909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15608,0
"IN","East North Central","Romney",1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Rosedale",3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Rossville",3444,3,0.000871080139372822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15970,0
"IN","East North Central","Royal Center",2135,3,0.00140515222482436,1,0,0,0,0,0,0,0,0,0,0.000468384074941452,0,0,0,0,18,591,0,20,15589,591
"IN","East North Central","Rushville",9905,280,0.0282685512367491,1,0,0,0,0,0,0,0,0,0,0.000100959111559818,0,0,0,0,18,2356,0,20,7661,2356
"IN","East North Central","Russellville",646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Russiaville",4940,3,0.000607287449392713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16153,0
"IN","East North Central","Saint Anthony",955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Saint Croix",341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Saint Joe",1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Saint John",16083,359,0.0223217061493502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8429,0
"IN","East North Central","Saint Mary Of The Woods",348,4,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10695,0
"IN","East North Central","Saint Meinrad",1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Saint Paul",2185,49,0.0224256292906178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8415,0
"IN","East North Central","Salamonia",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Salem",14879,26,0.00174742926271927,3,0,0,0,0,0,0,0,1,6.7208817796895e-05,0.000201626453390685,0,0,52,1620,16,1428,0,20,15345,1428
"IN","East North Central","San Pierre",873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Sandborn",710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Santa Claus",2636,25,0.00948406676783005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11385,0
"IN","East North Central","Saratoga",255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Schererville",23598,900,0.03813882532418,0,0,0,0,0,0,1,4.23764725824222e-05,0,0,0,159,4044,0,0,0,0,0,20,6707,0
"IN","East North Central","Schneider",243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Schnellville",406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Scipio",2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Scotland",192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Scottsburg",14919,40,0.00268114484885046,0,0,0,0,0,0,0,0,0,0,0,160,4605,0,0,0,0,0,20,14720,0
"IN","East North Central","Sellersburg",17813,397,0.0222870936956156,0,0,0,0,0,0,0,0,0,0,0,160,4605,0,0,0,0,0,20,8432,0
"IN","East North Central","Selma",3133,2,0.000638365783593999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16133,0
"IN","East North Central","Seymour",31352,448,0.0142893595304925,1,0,0,0,0,0,5,0.000159479459045675,1,3.1895891809135e-05,3.1895891809135e-05,155,2281,52,2515,18,3791,0,20,9922,3791
"IN","East North Central","Sharpsville",2872,4,0.00139275766016713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15606,0
"IN","East North Central","Shelburn",3592,7,0.00194877505567929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15224,0
"IN","East North Central","Shelby",332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Shelbyville",27737,419,0.0151061758661715,1,0,0,0,0,0,1,3.60529256949201e-05,2,7.21058513898403e-05,3.60529256949201e-05,159,4171,51,1532,18,3656,0,20,9717,3656
"IN","East North Central","Shepardsville",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Sheridan",7220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Shipshewana",8642,0,0,0,0,0,0,0,0,0,0,0,0,0,160,4605,0,0,0,0,0,20,16415,0
"IN","East North Central","Shirley",2044,0,0,0,0,0,0,0,0,0,0,1,0.000489236790606654,0,0,0,52,276,0,0,0,20,16415,0
"IN","East North Central","Shoals",3721,22,0.00591238914270357,1,0,0,0,0,0,1,0.000268744961031981,0,0,0.000268744961031981,159,1511,0,0,18,1083,0,20,12914,1083
"IN","East North Central","Silver Lake",2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Smithville",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Solsberry",3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Somerset",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","Somerville",235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","South Bend",147261,29706,0.212469377075458,1,0,0,0,0,0,96,0.00065190376270703,4,2.71626567794596e-05,6.7906641948649e-06,83,606,49,2678,18,4603,0,20,2312,4603
"IN","East North Central","South Milford",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16415,0
"IN","East North Central","South Whitley",3865,9,0.00232858990944373,1,0,0,0,0,0,0,0,0,0,0.000258732212160414,0,0,0,0,18,1125,0,20,14958,1125
"IN","East North Central","Spencer",10917,68,0.00622881744068883,1,0,0,0,0,0,0,0,1,9.16002564807182e-05,9.16002564807182e-05,0,0,52,1279,18,2486,0,20,12764,2486
"IN","East North Central","Spencerville",3723,16,0.0042976094547408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13742,0
"IN","East North Central","Spiceland",1277,8,0.0062646828504307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12741,0
"IN","East North Central","Springport",1206,8,0.0066334991708126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12577,0
"IN","East North Central","Springville",4812,0,0,0,0,0,0,0,0,0,0,1,0.000207813798836243,0,0,0,52,648,0,0,0,20,16415,0
