"state_abbr","division","city","total_population","black_population","perc_black","total_newspapers","black_media_groups","latino_media_groups","black_latino_media","inn_members","nabj_chapters","gun_incidents","gun_incidents_per_capita","murder_by_police","murder_by_police_per_capita","total_newspapers_per_capita","gva_rank","gvpc_rank","pva_rank","pvapc_rank","local_rank","localpc_rank","inn_rank","blm_rank","black_community_rank","newspapers_per_capita_rank"
"AK",,"Nikiski",0,0,,,,,0,,,0,,,,,160,,,,,,,21,,
"AK","Pacific","Adak",226,9,0.0398230088495575,,,,0,,,,,,,,,,,,,,,21,6629,
"AK","Pacific","Akiachak",573,1,0.00174520069808028,,,,0,,,,,,,,,,,,,,,21,15436,
"AK","Pacific","Akiak",381,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Akutan",731,103,0.140902872777018,,,,0,,,,,,,,,,,,,,,21,3265,
"AK","Pacific","Alakanuk",813,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Aleknagik",179,1,0.00558659217877095,,,,0,,,,,,,,,,,,,,,21,13162,
"AK","Pacific","Allakaket",226,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Ambler",260,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Anaktuvuk Pass",249,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Anchor Point",2599,0,0,,,,0,,,1,0.000384763370527126,2,0.000769526741054252,,159,1078,53,167,,,,21,16505,
"AK","Pacific","Anchorage",242529,14020,0.0444780072765196,4,,2,2,,,46,0.000189668039698345,14,5.7725055560366e-05,1.64928730172474e-05,114,2010,41,1731,15,4242,,19,6282,4242
"AK","Pacific","Anderson",120,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Angoon",510,60,0.117647058823529,,,,0,,,,,,,,,,,,,,,21,3663,
"AK","Pacific","Aniak",700,9,0.0128571428571429,,,,0,,,0,0,,,,160,4605,,,,,,21,10395,
"AK","Pacific","Anvik",105,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Arctic Village",185,0,0,,,,0,,,0,0,,,,160,4605,,,,,,21,16505,
"AK","Pacific","Atka",43,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Atqasuk",162,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Barrow",4457,107,0.0240071797172986,,,,0,,,,,1,0.00022436616558223,,,,54,600,,,,21,8259,
"AK","Pacific","Beaver",70,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Bethel",7857,119,0.0151457299223622,,,,0,,,,,,,,,,,,,,,21,9790,
"AK","Pacific","Bettles Field",95,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Big Lake",3079,17,0.00552127314063007,,,,0,,,1,0.00032478077297824,,,,159,1274,,,,,,21,13200,
"AK","Pacific","Brevig Mission",384,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Buckland",675,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Cantwell",199,2,0.0100502512562814,,,,0,,,,,,,,,,,,,,,21,11259,
"AK","Pacific","Central",44,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chalkyitsik",109,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chefornak",483,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chevak",1037,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chicken",12,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chignik",57,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chignik Lagoon",69,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chignik Lake",49,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chitina",61,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Chugiak",8843,65,0.00735044668099061,,,,0,,,,,,,,,,,,,,,21,12343,
"AK","Pacific","Circle",64,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Clam Gulch",365,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Clarks Point",44,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Clear",52,10,0.192307692307692,,,,0,,,,,,,,,,,,,,,21,2547,
"AK","Pacific","Coffman Cove",213,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Cold Bay",142,2,0.0140845070422535,,,,0,,,,,,,,,,,,,,,21,10056,
"AK","Pacific","Cooper Landing",488,0,0,,,,0,,,,,,,,,,,,,,,21,16505,
"AK","Pacific","Copper Center",527,8,0.015180265654649,,,,0,,,,,1,0.00189753320683112,,,,54,58,,,,21,9782,
"AK","Pacific","Cordova",2903,14,0.00482259731312435,1,,,0,,,,,,,0.00034447123665174,,,,,18,844,,21,13557,844
"AK","Pacific","Craig",1976,13,0.00657894736842105,,,,0,,,,,,,,,,,,,,,21,12695,
"AK","Pacific","Crooked Creek",75,1,0.0133333333333333,,,,0,,,,,,,,,,,,,,,21,10267,
